Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,MLP_Alphabet_Scalar,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Stochastic Quantization,Regularizer,Lambda,Original Sparsity,Quantized Sparsity,Retain_rate,Fusion,Seed
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.2835668789808917,0.89078,1.0573248407643312,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.14496815286624204,0.89078,0.5217834394904458,4,1.16,1.16,1,1,False,,0.1,0.0,0.3127,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.14496815286624204,0.89078,0.5217834394904458,4,1.16,1.16,1,1,False,,0.1,0.0,0.3127,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.14496815286624204,0.89078,0.5217834394904458,4,1.16,1.16,1,1,False,,0.1,0.0,0.3127,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.14496815286624204,0.89078,0.5217834394904458,4,1.16,1.16,1,1,False,,0.1,0.0,0.3127,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.14496815286624204,0.89078,0.5217834394904458,4,1.16,1.16,1,1,False,,0.1,0.0,0.3127,0.25,False,0
resnet18,ILSVRC2012,16,0.69758,0.08535031847133757,0.89078,0.46726114649681527,4,1.16,1.16,1,1,False,,0.1,0.0,0.3055,0.25,False,0
resnet18,ILSVRC2012,128,0.69758,0.12178343949044586,0.89078,0.5169426751592356,4,1.16,1.16,1,1,False,,0.1,0.0,0.3007,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.14496815286624204,0.89078,0.5217834394904458,4,1.16,1.16,1,1,False,,0.1,0.0,0.3127,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.15082802547770702,0.89078,0.5184713375796178,8,1.16,1.16,1,1,False,,0.1,0.0,0.0223,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.14496815286624204,0.89078,0.5217834394904458,4,1.16,1.16,1,1,False,,0.1,0.0,0.3127,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.14496815286624204,0.89078,0.5217834394904458,4,1.16,1.16,1,1,False,,0.1,0.0,0.3127,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.14496815286624204,0.89078,0.5217834394904458,4,1.16,1.16,1,1,False,,0.1,0.0,0.3127,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.09426751592356689,0.89078,0.0980891719745223,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.019617834394904457,0.89078,0.02038216560509554,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
resnet18,ILSVRC2012,256,0.69758,0.8417834394904459,0.89078,0.9640764331210191,4,1.16,1.16,1,1,False,,0.1,0.0,0.3131,0.25,False,0
